point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000138,39.95220049692127,-75.16261080126324,0,180,34
pt_000139,39.95225698420656,-75.16268001809857,90,270,34
pt_000140,39.951976407978805,-75.1598852073447,180,0,35
pt_000141,39.951919919010514,-75.15981599311941,270,90,35
pt_000142,39.95186665047484,-75.15988939155781,0,180,35
pt_000143,39.951923139398914,-75.15995860578984,90,270,35
pt_000144,39.95177738910461,-75.15830713677464,180,0,36
pt_000145,39.95172089918607,-75.1582379240645,270,90,36
pt_000146,39.95166763166084,-75.15831132352534,0,180,36
pt_000147,39.951724121535186,-75.15838053624225,90,270,36
pt_000148,39.951591258968456,-75.15673540854853,180,0,37
pt_000149,39.951534768103464,-75.15666619733511,270,90,37
pt_000150,39.951481501584674,-75.15673959782735,0,180,37
pt_000151,39.95153799240545,-75.15680880904753,90,270,37
pt_000152,39.951587935022836,-75.16287634294827,180,0,38
pt_000153,39.951531447855764,-75.16280712663144,270,90,38
pt_000154,39.951478177402954,-75.16288052230436,0,180,38
pt_000155,39.95153466452584,-75.16294973862796,90,270,38
pt_000156,39.95138786679306,-75.15515857168953,180,0,39
pt_000157,39.95133137497861,-75.1550893619947,270,90,39
pt_000158,39.95127810946949,-75.15516276350364,0,180,39
pt_000159,39.95133460123976,-75.15523197320523,90,270,39
pt_000160,39.95622189762108,-75.1621171784061,180,0,40
pt_000161,39.956165409997006,-75.1620479579984,270,90,40
pt_000162,39.956112140042286,-75.16212135927404,0,180,40
pt_000163,39.95616862762216,-75.16219057968851,90,270,40
pt_000164,39.95616271606515,-75.16163244273996,180,0,41
pt_000165,39.95610622814919,-75.16156322279568,270,90,41
pt_000166,39.95605295850485,-75.16163662438754,0,180,41
pt_000167,39.956109446376615,-75.16170584433856,90,270,41
pt_000168,39.956031103811824,-75.1606117643291,180,0,42
pt_000169,39.95597461528123,-75.16054254536779,270,90,42
pt_000170,39.9559213462904,-75.1606159476179,0,180,42
pt_000171,39.955977834776824,-75.16068516658596,90,270,42
pt_000172,39.95592698725661,-75.15982801924464,180,0,43
pt_000173,39.95587049825406,-75.15975880104124,270,90,43
pt_000174,39.95581722976506,-75.15983220379348,0,180,43
pt_000175,39.95587371872343,-75.15990142200366,90,270,43
pt_000176,39.955830780792866,-75.15904164365054,180,0,44
pt_000177,39.955774291316764,-75.15897242619916,270,90,44
pt_000178,39.95572102333129,-75.15904582946416,0,180,44
pt_000179,39.9557775127632,-75.15911504692228,90,270,44
pt_000180,39.956933836430146,-75.16146449224776,180,0,45
pt_000181,39.956877348413094,-75.16139527165731,270,90,45
pt_000182,39.95682407887835,-75.1614686742142,0,180,45
pt_000183,39.95688056685118,-75.16153789481143,90,270,45
pt_000184,39.95680795635549,-75.16044406408025,180,0,46
pt_000185,39.95675146772397,-75.16037484446674,270,90,46
pt_000186,39.956698198842595,-75.1604482476879,0,180,46
pt_000187,39.956754687429914,-75.16051746730818,90,270,46
pt_000188,39.956519696022255,-75.16155324018538,180,0,47
pt_000189,39.95646320805865,-75.16148401994317,270,90,47
pt_000190,39.956409938465974,-75.16155742198292,0,180,47
pt_000191,39.9564664263854,-75.16162664223188,90,270,47
pt_000192,39.956368843903526,-75.15845926559145,180,0,48
pt_000193,39.95631235407678,-75.15839004807611,270,90,48
pt_000194,39.95625908646579,-75.1584634523793,0,180,48
pt_000195,39.956315576248336,-75.1585326699014,90,270,48
pt_000196,39.956427135621446,-75.15891146835338,180,0,49
pt_000197,39.95637064606701,-75.15884225040254,270,90,49
pt_000198,39.95631737816645,-75.15891565441409,0,180,49
pt_000199,39.95637386767671,-75.15898487237169,90,270,49
pt_000200,39.95632427200767,-75.15810779977636,180,0,50
pt_000201,39.95626778196929,-75.15803858259875,270,90,50
pt_000202,39.95621451458334,-75.1581119871294,0,180,50
pt_000203,39.956271004577516,-75.15818120431378,90,270,50
pt_000204,39.956296979333025,-75.1597471698254,180,0,51
pt_000205,39.956240490281814,-75.15967795131219,270,90,51
pt_000206,39.95618722184556,-75.15975135452769,0,180,51
pt_000207,39.956243710852576,-75.15982057304765,90,270,51
pt_000208,39.957103854558795,-75.15956929430591,180,0,52
pt_000209,39.95704736540052,-75.15950007511834,270,90,52
pt_000210,39.9569940970803,-75.15957347934533,0,180,52
pt_000211,39.95705058619436,-75.15964269853964,90,270,52
pt_000212,39.9563926878941,-75.16052931120531,180,0,53
pt_000213,39.956336199313874,-75.16046009194407,270,90,53
pt_000214,39.95628293037681,-75.16053349464961,0,180,53
pt_000215,39.95633941891283,-75.1606027139176,90,270,53
pt_000216,39.956202671443656,-75.15896261551522,180,0,54
pt_000217,39.956146181920005,-75.15889339775059,270,90,54
pt_000218,39.956092913986105,-75.15896680147947,0,180,54
