approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00324,INT_0192,37.0,17.0,5
APP_00325,INT_0192,27.0,13.0,5
APP_00326,INT_0193,34.0,3.0,5
APP_00327,INT_0194,13.0,8.0,5
APP_00328,INT_0194,20.0,4.0,5
APP_00329,INT_0195,80.0,0.0,2
APP_00330,INT_0195,63.0,13.0,5
APP_00331,INT_0195,45.0,26.0,5
APP_00332,INT_0196,54.0,16.0,5
APP_00333,INT_0196,31.0,10.0,5
APP_00334,INT_0197,79.0,1.0,5
APP_00335,INT_0198,36.0,24.0,5
APP_00336,INT_0200,26.0,12.0,5
APP_00337,INT_0201,48.0,5.0,5
APP_00338,INT_0201,35.0,14.0,5
APP_00339,INT_0201,44.0,8.0,5
APP_00340,INT_0202,27.0,2.0,5
APP_00341,INT_0202,12.0,1.0,5
APP_00342,INT_0202,56.0,1.0,5
APP_00343,INT_0203,17.0,1.0,5
APP_00344,INT_0203,15.0,9.0,5
APP_00345,INT_0203,30.0,23.0,5
APP_00346,INT_0204,37.0,10.0,5
APP_00347,INT_0204,15.0,4.0,5
APP_00348,INT_0204,21.0,4.0,5
APP_00349,INT_0209,15.0,12.0,5
APP_00350,INT_0209,23.0,10.0,5
APP_00351,INT_0210,22.0,5.0,5
APP_00352,INT_0210,52.0,2.0,5
APP_00353,INT_0214,24.0,13.0,5
APP_00354,INT_0214,40.0,7.0,5
APP_00355,INT_0215,62.0,33.0,5
APP_00356,INT_0215,51.0,2.0,5
APP_00357,INT_0216,17.0,6.0,5
APP_00358,INT_0216,20.0,3.0,5
APP_00359,INT_0217,55.0,23.0,5
APP_00360,INT_0217,11.0,11.0,5
APP_00361,INT_0218,36.0,12.0,5
APP_00362,INT_0218,24.0,18.0,5
APP_00363,INT_0219,39.0,11.0,5
APP_00364,INT_0219,34.0,8.0,5
APP_00365,INT_0220,19.0,9.0,5
APP_00366,INT_0220,33.0,15.0,5
APP_00367,INT_0221,33.0,30.0,5
APP_00368,INT_0221,12.0,3.0,5
APP_00369,INT_0222,48.0,0.0,5
APP_00370,INT_0223,34.0,26.0,5
APP_00371,INT_0223,43.0,7.0,5
APP_00372,INT_0224,26.0,14.0,5
APP_00373,INT_0225,36.0,5.0,5
APP_00374,INT_0225,37.0,7.0,5
APP_00375,INT_0226,33.0,21.0,5
APP_00376,INT_0226,32.0,11.0,5
APP_00377,INT_0227,16.0,7.0,5
APP_00378,INT_0227,27.0,17.0,5
APP_00379,INT_0228,14.0,9.0,5
APP_00380,INT_0228,43.0,30.0,5
APP_00381,INT_0228,34.0,8.0,5
APP_00382,INT_0229,35.0,14.0,5
APP_00383,INT_0230,30.0,1.0,2
APP_00384,INT_0231,29.0,4.0,5
APP_00385,INT_0231,29.0,12.0,5
APP_00386,INT_0232,50.0,6.0,5
