point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000202,39.972547166586104,-75.14041449295152,0,180,50
pt_000203,39.972603667232285,-75.14048371206037,90,270,50
pt_000204,39.97651679341545,-75.14168385088696,180,0,51
pt_000205,39.97646029349332,-75.14161462679048,270,90,51
pt_000206,39.97640703668536,-75.1416880660325,0,180,51
pt_000207,39.976463536563315,-75.14175729013579,90,270,51
pt_000208,39.97629202426321,-75.1454469568337,180,0,52
pt_000209,39.97623552660658,-75.14537772983527,270,90,52
pt_000210,39.97618226738685,-75.14545116588269,0,180,52
pt_000211,39.97623876499928,-75.1455203928879,90,270,52
pt_000212,39.97618704994154,-75.14458560982088,180,0,53
pt_000213,39.97613055176628,-75.14451638364616,270,90,53
pt_000214,39.976077293098136,-75.14458982025563,0,180,53
pt_000215,39.976133791229195,-75.14465904643716,90,270,53
pt_000216,39.97592229776814,-75.14237773507631,180,0,54
pt_000217,39.97586579826351,-75.14230851100855,270,90,54
pt_000218,39.975812541009255,-75.14238194906338,0,180,54
pt_000219,39.975869040469675,-75.14245117313796,90,270,54
pt_000220,39.97558096204786,-75.13827034184266,180,0,55
pt_000221,39.97552446007032,-75.13820112154052,270,90,55
pt_000222,39.97547120544688,-75.13827456244759,0,180,55
pt_000223,39.97552770738023,-75.13834378275655,90,270,55
pt_000224,39.97570399727325,-75.14556862119304,180,0,56
pt_000225,39.97564749968962,-75.1454993946929,270,90,56
pt_000226,39.97559424039024,-75.14557283000894,0,180,56
pt_000227,39.97565073792966,-75.14564205651588,90,270,56
pt_000228,39.97550596782099,-75.1377045098924,180,0,57
pt_000229,39.97544946550278,-75.13763529013755,270,90,57
pt_000230,39.975396211241716,-75.13770873140726,0,180,57
pt_000231,39.97545271351574,-75.13777795116896,90,270,57
pt_000232,39.97544103275779,-75.1371979678376,180,0,58
pt_000233,39.975384530134626,-75.1371287485704,270,90,58
pt_000234,39.97533127619792,-75.13720219016716,0,180,58
pt_000235,39.975387778776906,-75.13727140944117,90,270,58
pt_000236,39.975595051204024,-75.1447151240861,180,0,59
pt_000237,39.9755385531065,-75.14464589840716,270,90,59
pt_000238,39.97548529435363,-75.14471933427481,0,180,59
pt_000239,39.97554179240697,-75.14478855996056,90,270,59
pt_000240,39.975347738017575,-75.13645577104178,180,0,60
pt_000241,39.97529123494756,-75.13638655248728,270,90,60
pt_000242,39.97523798148617,-75.13645999456519,0,180,60
pt_000243,39.975294484512,-75.13652921312654,90,270,60
pt_000244,39.97548406196732,-75.14384483819445,180,0,61
pt_000245,39.97542756334576,-75.14377561335276,270,90,61
